edge2,edge1,id,Year
55593,59003,59003,2018
53760,59003,59003,2018
59834,59003,59003,2018
42453,59003,59003,2018
2758,59003,59003,2018
51783,59003,59003,2018
52082,59003,59003,2018
51887,59003,59003,2018
2501,59003,59003,2018
3497,59003,59003,2018
4079,59003,59003,2018
53157,59003,59003,2018
51830,59003,59003,2018
52774,59003,59003,2018
53965,59003,59003,2018
60066,59007,59007,2018
36981,59007,59007,2018
53511,59007,59007,2018
59833,59007,59007,2018
53760,59007,59007,2018
43337,59007,59007,2018
53967,59007,59007,2018
53510,59007,59007,2018
49773,59007,59007,2018
1625,59007,59007,2018
68577,59007,59007,2018
60318,59007,59007,2018
2317,59007,59007,2018
58964,59007,59007,2018
55881,59007,59007,2018
58653,59007,59007,2018
55512,59007,59007,2018
3077,59007,59007,2018
53965,59007,59007,2018
59883,59020,59020,2017
7219,59020,59020,2017
52621,59020,59020,2017
53836,59020,59020,2017
53134,59020,59020,2017
53760,59020,59020,2017
22728,59020,59020,2017
53256,59020,59020,2017
60727,59020,59020,2017
52529,59020,59020,2017
22240,59020,59020,2017
60095,59020,59020,2017
53363,59020,59020,2017
22798,59020,59020,2017
53308,59020,59020,2017
60003,59020,59020,2017
6488,59020,59020,2017
21292,59020,59020,2017
22332,59020,59020,2017
55881,59020,59020,2017
3487,59020,59020,2017
52624,59020,59020,2017
53662,59020,59020,2017
22686,59020,59020,2017
22627,59020,59020,2017
51636,59020,59020,2017
22085,59020,59020,2017
52709,59020,59020,2017
22347,59025,59025,2017
59694,59025,59025,2017
2996,59025,59025,2017
55520,59025,59025,2017
55471,59025,59025,2017
52941,59025,59025,2017
3973,59025,59025,2017
3257,59025,59025,2017
43935,59025,59025,2017
3114,59025,59025,2017
3376,59025,59025,2017
60599,59025,59025,2017
23188,59025,59025,2017
30681,59025,59025,2017
43995,59025,59025,2017
42513,59025,59025,2017
19094,59030,59030,2017
22001,59030,59030,2017
22178,59030,59030,2017
22338,59030,59030,2017
2788,59030,59030,2017
53941,59030,59030,2017
22568,59030,59030,2017
5591,59030,59030,2017
23244,59030,59030,2017
22007,59030,59030,2017
4198,59030,59030,2017
41996,59030,59030,2017
59202,59030,59030,2017
37906,59030,59030,2017
2079,59030,59030,2017
2775,59048,59048,2017
51844,59048,59048,2017
55570,59048,59048,2017
52046,59048,59048,2017
56040,59048,59048,2017
45033,59048,59048,2017
52666,59048,59048,2017
3101,59048,59048,2017
